Season,Stream,Revenue
2023,Matchday,867
2023,Broadcasting,3232
2023,Commercial,1975
2022,Matchday,763
2022,Broadcasting,2954
2022,Commercial,1738
2021,Matchday,31
2021,Broadcasting,3345
2021,Commercial,1492
2020,Matchday,550
2020,Broadcasting,2200
2020,Commercial,1550
2019,Matchday,683
2019,Broadcasting,3049
2019,Commercial,1425
2018,Matchday,670
2018,Broadcasting,2844
2018,Commercial,1305
2017,Matchday,620
2017,Broadcasting,2768
2017,Commercial,1168
2016,Matchday,622
2016,Broadcasting,1927
2016,Commercial,1090
2015,Matchday,584
2015,Broadcasting,1778
2015,Commercial,985
2014,Matchday,604
2014,Broadcasting,1758
2014,Commercial,897
2013,Matchday,585
2013,Broadcasting,1191
2013,Commercial,749
