Country,Year,Revenue,revenue_total,population,rev_per_pop
Albania,2022,5,5000000,2777689,1.80005753
Andorra,2022,4,4000000,79824,50.11024253
Armenia,2022,14,14000000,2780469,5.035121773
Austria,2022,267,267000000,9041851,29.5293519
Azerbaijan,2022,47,47000000,10141756,4.634305933
Belarus,2022,42,42000000,9228071,4.551330392
Belgium,2022,494,494000000,11685814,42.27347791
Bosnia,2022,17,17000000,3233526,5.257418682
Bulgaria,2022,64,64000000,6465097,9.899310095
Croatia,2022,97,97000000,3855641,25.15794391
Cyprus,2022,95,95000000,1251488,75.90963717
Czechia,2022,97,97000000,10672118,9.089104899
Denmark,2022,287,287000000,5903037,48.61904135
Estonia,2022,13,13000000,1348840,9.637911094
Faroe Islands,2022,10,10000000,53090,188.3593897
Finland,2022,33,33000000,5556106,5.939411523
France,2022,1995,1995000000,67971311,29.35061823
Georgia,2022,12,12000000,3712502,3.232321491
Germany,2022,3229,3229000000,83797985,38.53314611
Gibraltar,2022,4,4000000,32649,122.5152378
Greece,2022,159,159000000,10426919,15.24899158
Hungary,2022,158,158000000,9643048,16.38486089
Iceland,2022,27,27000000,382003,70.68007319
Ireland,2022,26,26000000,5127170,5.071023586
Israel,2022,138,138000000,9557500,14.43892231
Italy,2022,2346,2346000000,58940425,39.80290268
Kazakhstan,2022,70,70000000,19634983,3.565065475
Kosovo,2022,10,10000000,1768086,5.655833483
Latvia,2022,29,29000000,1879383,15.43059611
Liechtenstein,2022,8,8000000,39327,203.422585
Lithuania,2022,15,15000000,2831639,5.297285424
Luxembourg,2022,18,18000000,653103,27.56073697
Malta,2022,12,12000000,531113,22.5940619
Moldova,2022,16,16000000,2538894,6.301956679
Montenegro,2022,8,8000000,617213,12.96148979
Netherlands,2022,629,629000000,17700982,35.53475169
North Macedonia,2022,10,10000000,1831712,5.459373526
Norway,2022,161,161000000,5457127,29.50270353
Poland,2022,153,153000000,36821749,4.155152978
Portugal,2022,557,557000000,10409704,53.50776545
Romania,2022,9,9000000,19047009,0.472515133
Russia,2022,1050,1050000000,144236933,7.279688899
San Marino,2022,3,3000000,33660,89.12655971
Serbia,2022,65,65000000,6664449,9.753244417
Slovakia,2022,51,51000000,5431752,9.389235738
Slovenia,2022,21,21000000,2111986,9.94324773
Spain,2022,3320,3320000000,47778340,69.4875544
Sweden,2022,210,210000000,10486941,20.02490526
Switzerland,2022,248,248000000,8775760,28.2596607
Turkey,2022,533,533000000,84979913,6.272070436
Ukraine,2022,11,11000000,38000000,0.289473684
United Kingdom,2022,6453,6453000000,67791000,95.18962694
