Season,Stream,Revenue,Percentage
2023,Matchday,867,14.27
2023,Broadcasting,3232,53.21
2023,Commercial,1975,32.52
2022,Matchday,763,13.99
2022,Broadcasting,2954,54.15
2022,Commercial,1738,31.86
2021,Matchday,31,0.64
2021,Broadcasting,3345,68.71
2021,Commercial,1492,30.65
2020,Matchday,550,12.79
2020,Broadcasting,2200,51.16
2020,Commercial,1550,36.05
2019,Matchday,683,13.24
2019,Broadcasting,3049,59.12
2019,Commercial,1425,27.63
2018,Matchday,670,13.90
2018,Broadcasting,2844,59.02
2018,Commercial,1305,27.08
2017,Matchday,620,13.61
2017,Broadcasting,2768,60.76
2017,Commercial,1168,25.64
2016,Matchday,622,17.09
2016,Broadcasting,1927,52.95
2016,Commercial,1090,29.95
2015,Matchday,584,17.45
2015,Broadcasting,1778,53.12
2015,Commercial,985,29.43
2014,Matchday,604,18.53
2014,Broadcasting,1758,53.94
2014,Commercial,897,27.52
2013,Matchday,585,23.17
2013,Broadcasting,1191,47.17
2013,Commercial,749,29.66
