team,cheap,season
Arsenal,27,2014/15
Aston Villa,20,2014/15
Burnley,35,2014/15
Chelsea,36,2014/15
Everton,33,2014/15
Liverpool,37,2014/15
Manchester United,31,2014/15
Newcastle United,24,2014/15
Tottenham Hotspur,32,2014/15
West Ham United,20,2014/15
Everton,55,2023/24
Newcastle United,44,2023/24
Aston Villa,40.5,2023/24
Tottenham Hotspur,37,2023/24
Manchester United,36,2023/24
West Ham United,30,2023/24
Arsenal,28.5,2023/24
Burnley,25,2023/24
Chelsea,25,2023/24
Liverpool,9,2023/24
